name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active
Ring of Sola,UA08,2,,Artifact,Equipment,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 and has haste.
{4}{r}, {t}: Until the start of your next turn, if equipped creature would deal damage to an opponent or a permanent an opponent controls, it deals twice that much damage instead. Activate only as a sorcery and only if Ring of Sola has a counter on it.
Equip {1}",,,,,,https://www.planesculptors.net/upload/5734/16049/Ring%20of%20Sola.jpg,Artifact,
Salvage Mite,CA01,3,,Artifact Creature,Mite,common,"When Salvage Mite enters, put a +1/+1 counter on target creature.
When Salvage Mite dies, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Salvage%20Mite.jpg,Artifact,FALSE
Soul of Namekkos,MA01,6,,Artifact Creature,Avatar,mythic,"Ward {6}
{6}:  Until end of turn, each nontoken artifact you control becomes an artifact creature with power and toughness each equal to its mana value and gains hexproof.
{6}, Exile Soul of Namekkos from your graveyard:  Until end of turn, each nontoken artifact you control becomes an artifact creature with power and toughness each equal to its mana value and gains hexproof.",,6,6,,,https://www.planesculptors.net/upload/5734/16049/Soul%20of%20Namekkos.jpg,Artifact,
Specimen Journal,UA04,2,,Artifact,,uncommon,"Clockwork 1 (This artifact enters with 1 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever a creature you control enters, note one of its creature types that you haven’t noted for Specimen Journal. If you do, put a charge counter on Specimen Journal.
{1}, {t}: Draw a card. Activate only if Specimen Journal has a counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Specimen%20Journal.jpg,Artifact,FALSE
Spring-Loaded Key,CA04,2,,Artifact,,common,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
{1}, {t}: Untap another target artifact. Give it another counter of each kind already there. Activate only as a sorcery and only if Spring-Loaded Key has a counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Spring-Loaded%20Key.jpg,Artifact,FALSE
Station Guardian,CA02,6,,Artifact Creature,Beast,common,"Vigilance
When Station Guardian enters, you may return another target artifact you control to its owner&#39;s hand.","“We trained some of the local wildlife to guard the research station. Now the damned things aren’t letting the researchers back in either!”
—Akor, Synak station patrol",4,5,,,https://www.planesculptors.net/upload/5734/16049/Station%20Guardian.jpg,Artifact,
Territorial Gorilla,UA02,5,,Artifact Creature,Ape,uncommon,"Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Trample
Whenever you cast a noncreature spell, put a +1/+1 counter on Territorial Gorilla and untap it.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Territorial%20Gorilla.jpg,Artifact,
Abandoned Scrapyard,CL02,,,Land,,common,"When Abandoned Scrapyard enters, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)
{t}: Add {c}.
{1}, {T}: Add one mana of any color.",,,,,,https://www.planesculptors.net/upload/5734/16049/Abandoned%20Scrapyard.jpg,Land multicolour,
Cavernous Factory,RL06,,,Land,,rare,"{T}: Add {c}.
{T}: Add one mana of any color. Spend this mana only to cast a noncreature artifact spell or activate an ability of a noncreature artifact. That spell or ability can&#39;t be countered.",,,,,,https://www.planesculptors.net/upload/5734/16049/Cavernous%20Factory.jpg,Land multicolour,FALSE
Combat Arena,RL04,,,Land,Swamp,rare,"As Combat Arena enters, you may reveal a Warrior card from your hand. If you don&#39;t, Combat Arena enters tapped.
{T}: Add {r} or {w}. Combat Arena deals 1 damage to you.","A Morex will never turn down a good fight . . . or bad one, for that matter.",,,,,https://www.planesculptors.net/upload/5734/16049/Combat%20Arena.jpg,Land multicolour,
Configurable Landscape,CL01,,,Land,,common,"{t}: Add {c}.
{2}, {t}, Sacrifice Configurable Landscape: Search your library for a land card and reveal it. If it&#39;s basic, you may put it onto the battlefield tapped. Otherwise, put it into your hand. Then shuffle.",,,,,,https://www.planesculptors.net/upload/5734/16049/Configurable%20Landscape.jpg,Land (colourless),
Gensto Mines,UL01,,,Land,,uncommon,"{T}: Add {c}.
{3}, {T}, Sacrifice Gensto Mines: Target artifact you control gains indestructible until end of turn. Tap it.",The Gensto Mountains are the home of the finest metal ore on Namekkos. Mining space is viciously fought over.,,,,,https://www.planesculptors.net/upload/5734/16049/Gensto%20Mines.jpg,Land,FALSE
Murmuring Bosk,RL01,,,Land,Forest,rare,"As Murmuring Bosk enters, you may reveal a Treefolk card from your hand. If you don&#39;t, Murmuring Bosk enters tapped.
{T}: Add {W} or {B}. Murmuring Bosk deals 1 damage to you.","The flora of Namekkos are as mechanical as the fauna, but just tend to move at a slower pace.",,,,,https://www.planesculptors.net/upload/5734/16049/Murmuring%20Bosk.jpg,Land multicolour,
Polytechnic Institute,RL03,,,Land,Island,rare,"As Polytechnic Institute enters, you may reveal an Artificer card from your hand. If you don&#39;t, Polytechnic Institute enters tapped.
{T}: Add {b} or {g}. Polytechnic Institute deals 1 damage to you.",Where the finest minds hone the jewel of Artinan science.,,,,,https://www.planesculptors.net/upload/5734/16049/Polytechnic%20Institute.jpg,Land multicolour,
Summit Hot Spring,RL05,,,Land,Mountain,rare,"As Summit Hot Spring enters, you may reveal an Ape card from your hand. If you don&#39;t, Summit Hot Spring enters tapped.
{T}: Add {g} or {u}. Summit Hot Spring deals 1 damage to you.",Take a refreshing dip in the warm oil to lubricate your joints.,,,,,https://www.planesculptors.net/upload/5734/16049/Summit%20Hot%20Spring.jpg,Land multicolour,
Thundering Grounds,RL02,,,Land,Plains,rare,"As Thundering Grounds enters, you may reveal a Dinosaur card from your hand. If you don&#39;t, Thundering Grounds enters tapped.
{T}: Add {u} or {r}. Thundering Grounds deals 1 damage to you.",The petty territory squabbles between Kosmen and Artina mean nothing to the true rulers of the plains.,,,,,https://www.planesculptors.net/upload/5734/16049/Thundering%20Grounds.jpg,Land multicolour,
Insect,,,Token,Artifact Creature,Insect,token,,,1,1,,https://legacytoys.com/cdn/shop/files/hexbug-hexbug-micro-ant-assorted-colors-409-6389-legacy-toys-2.jpg,https://www.planesculptors.net/upload/5734/16049/Insect.jpg,token Green,
Elemental,,,Token,Artifact Creature,Elemental,token,"Haste
At the beginning of your end step, sacrifice this creature.",,2,1,,,https://www.planesculptors.net/upload/5734/16049/Elemental.jpg,token Red,
Drone,,,Token,Artifact Creature,Drone,token,Vigilance,,2,2,,,https://www.planesculptors.net/upload/5734/16049/Drone.jpg,token White,
Beast,,,Token,Artifact Creature,Beast,token,Trample,,3,3,,,https://www.planesculptors.net/upload/5734/16049/Beast.jpg,token Green,
Thopter,,,Token,Artifact Creature,Thopter,token,Flying,,1,1,,,https://www.planesculptors.net/upload/5734/16049/Thopter.jpg,token White,
"Temmar, Ascendant Clockmaker",,,,Emblem,,token,Spells you cast cost {1} less for each artifact you control.,,,,,,https://64.media.tumblr.com/a85d7481e03486cdfd7a3b85cada57a0/f753a610fdcb8d13-9b/s400x600/8f0ac0ab6bae9d19ffcf69793030020b6a2a0c08.jpg,token Colourless,
"Venser, Prodigal Shaper",,,,Emblem,,token,"Whenever you cast a spell, return target spell or nonland permanent an opponent controls to its owner&#39;s hand. Until the end of your next turn, you may cast a copy of it.",,,,,,https://64.media.tumblr.com/223bd400470aa617bbc5953c92167ee9/f753a610fdcb8d13-2d/s400x600/b8a95d11ae22fc8e71cdffa00faf4da413400238.jpg,token Colourless,
Warrior,,,Token,Artifact Creature,Warrior,token,"Menace
This creature’s power and toughness are each equal to the number of instant and sorcery cards in your graveyard plus the number of instant and sorcery cards you own in exile.",,*,*,,,https://www.planesculptors.net/upload/5734/16049/Warrior.jpg,token Red,
Scrap,,,Token,Artifact,Scrap,token,"{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.",,,,,,https://www.planesculptors.net/upload/5734/16881/Scrap.jpg,token Artifact,
Treasure,,,Token,Artifact,Treasure,token,"{T}, Sacrifice this artifact: Add one mana of any color.",,,,,,https://www.planesculptors.net/upload/5734/16881/Treasure.jpg,token Artifact,
Copy,,,Token,,,token,,,,,,,https://www.planesculptors.net/upload/5734/16881/Copy.jpg,token Colourless,
Skeleton,,,Token,Artifact Creature,Skeleton,token,,,1,1,,,https://www.planesculptors.net/upload/5734/16049/Skeleton.jpg,token Black,
